ids,labels,parents
Midnight Sun Brewing Co. - Anchorage - AK - northwest,Midnight Sun Brewing Co.,Anchorage - AK - northwest
Mikerphone Brewing - Elk Grove Village - IL - great-lakes,Mikerphone Brewing,Elk Grove Village - IL - great-lakes
Mile Wide Beer Co. - Louisville - KY - south,Mile Wide Beer Co.,Louisville - KY - south
Minneapolis Town Hall Brewery - Minneapolis - MN - midwest,Minneapolis Town Hall Brewery,Minneapolis - MN - midwest
Modern Times Beer - San Diego - CA - pacific,Modern Times Beer,San Diego - CA - pacific
Monkish Brewing Co. - Torrance - CA - pacific,Monkish Brewing Co.,Torrance - CA - pacific
Moonraker Brewing Company - Auburn - CA - pacific,Moonraker Brewing Company,Auburn - CA - pacific
More Brewing Co. - Villa Park - IL - great-lakes,More Brewing Co.,Villa Park - IL - great-lakes
Mother Road Brewery - Flagstaff - AZ - southwest,Mother Road Brewery,Flagstaff - AZ - southwest
Mountain Sun Pub & Brewery - Boulder - CO - mountain,Mountain Sun Pub & Brewery,Boulder - CO - mountain
Narrow Gauge Brewing Company - Florissant - MO - midwest,Narrow Gauge Brewing Company,Florissant - MO - midwest
New Belgium Brewing - Fort Collins - CO - mountain,New Belgium Brewing,Fort Collins - CO - mountain
New England Brewing Co. - Woodbridge - CT - new-england,New England Brewing Co.,Woodbridge - CT - new-england
New Glarus Brewing Company - Exeter - WI - great-lakes,New Glarus Brewing Company,Exeter - WI - great-lakes
New Orleans Lager & Ale Brewing Company (NOLA) - New Orleans - LA - south,New Orleans Lager & Ale Brewing Company (NOLA),New Orleans - LA - south
No Label Brewing Company - Katy - TX - southwest,No Label Brewing Company,Katy - TX - southwest
Noble Ale Works - Anaheim - CA - pacific,Noble Ale Works,Anaheim - CA - pacific
North Coast Brewing Co. - Fort Bragg - CA - pacific,North Coast Brewing Co.,Fort Bragg - CA - pacific
Ocelot Brewing Company - Carters - VA - south-atlantic,Ocelot Brewing Company,Carters - VA - south-atlantic
Odd Side Ales - Grand Haven - MI - great-lakes,Odd Side Ales,Grand Haven - MI - great-lakes
Odd13 Brewing - Lafayette - CO - mountain,Odd13 Brewing,Lafayette - CO - mountain
Odell Brewing Company - Fort Collins - CO - mountain,Odell Brewing Company,Fort Collins - CO - mountain
Old Nation Brewing Co. - Williamston - MI - great-lakes,Old Nation Brewing Co.,Williamston - MI - great-lakes
Olde Hickory Brewery - Hickory - NC - south-atlantic,Olde Hickory Brewery,Hickory - NC - south-atlantic
Oskar Blues Grill & Brew - Denver - CO - mountain,Oskar Blues Grill & Brew,Denver - CO - mountain
